1.778,-104.72,1038.588
2.353,-104.753,1038.163
2.948,-104.641,1037.789
3.523,-104.695,1037.61
4.117,-104.606,1037.458
4.692,-104.675,1037.411
1.157,-104.293,1039.173
5.277,-104.097,1037.452
5.836,-104.135,1037.529
6.448,-104.107,1037.582
7.006,-104.143,1037.651
7.618,-104.114,1037.67
8.176,-104.148,1037.694
8.788,-104.115,1037.666
9.345,-104.144,1037.638
9.957,-104.106,1037.567
10.514,-104.129,1037.494
11.125,-104.087,1037.392
11.681,-104.107,1037.291
1.182,-103.669,1039.091
12.299,-103.415,1037.256
12.877,-103.478,1037.152
13.465,-103.394,1037.041
14.043,-103.454,1036.927
14.631,-103.371,1036.817
15.21,-103.433,1036.708
15.797,-103.35,1036.606
16.375,-103.412,1036.508
16.962,-103.332,1036.428
17.541,-103.395,1036.343
18.128,-103.315,1036.269
18.708,-103.381,1036.187
0.597,-103.188,1040.164
19.291,-102.795,1036.188
19.843,-102.816,1036.09
20.456,-102.776,1035.986
21.007,-102.795,1035.873
21.619,-102.754,1035.768
22.17,-102.773,1035.647
22.782,-102.732,1035.537
23.333,-102.75,1035.415
23.945,-102.707,1035.292
24.494,-102.725,1035.159
25.105,-102.677,1034.984
0.607,-102.5,1039.856
25.692,-102.109,1035.166
26.27,-102.02,1034.981
26.85,-102.071,1034.774
27.424,-101.971,1034.485
28.001,-102.014,1034.192
28.572,-101.906,1033.824
29.148,-101.946,1033.511
29.717,-101.835,1033.124
30.294,-101.879,1032.844
30.864,-101.774,1032.513
31.442,-101.825,1032.293
32.013,-101.729,1032.025
-0.015,-101.997,1039.666
32.602,-101.362,1033.199
33.213,-101.315,1033.048
33.759,-101.337,1032.949
34.37,-101.294,1032.809
34.916,-101.316,1032.715
35.527,-101.272,1032.583
36.072,-101.293,1032.475
36.683,-101.247,1032.321
37.225,-101.264,1032.166
37.834,-101.214,1031.967
38.374,-101.225,1031.762
38.98,-101.164,1031.482
0.011,-101.336,1039.217
39.601,-100.682,1032.53
40.163,-100.579,1032.217
40.742,-100.624,1031.938
41.306,-100.531,1031.681
41.889,-100.586,1031.514
42.454,-100.5,1031.312
43.038,-100.553,1031.153
43.604,-100.467,1031.0
44.19,-100.528,1030.91
44.754,-100.439,1030.724
45.34,-100.5,1030.603
45.901,-100.407,1030.38
-0.574,-100.708,1038.748
46.499,-100.019,1031.337
47.106,-99.965,1031.097
47.64,-99.976,1030.874
48.248,-99.922,1030.649
48.783,-99.933,1030.444
49.391,-99.88,1030.225
49.926,-99.894,1030.04
50.533,-99.843,1029.812
51.068,-99.858,1029.639
51.675,-99.804,1029.412
52.209,-99.819,1029.239
-0.56,-99.891,1037.096
52.85,-99.21,1029.972
53.439,-99.265,1029.857
53.989,-99.168,1029.547
54.578,-99.225,1029.413
55.131,-99.133,1029.182
55.721,-99.191,1029.078
